id,customerId,driverId,rideStatus,rideType,pickupPoint,pickupLat,pickupLong,dropPoint,dropLat,dropLong,initialDistance,initialDuration,finalDistance,finalDuration,payWithNuraCoins,appliedVoucherId,appliedCouponId,rideAssignedLat,rideAssignedLong,initialFare,finalFare,payableAmount,rideStartTime,rideEndTime,rideAssignedTime,initialOdometer,finalOdometer,createdAt,updatedAt,schoolRideBookingId
304,151,17,CANCELLED,RIDE,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,"Nungambakkam, Nungambakkam, Chennai, Tamil Nadu, India",13.0569467,80.242469,7.22,1226,0,0,f,,,13.08151974,80.2166453,145,,,,,45940.36467,,,10-10-2025,08:45:16,10-10-2025
77,20,,PENDING,RIDE,"VGN Zodiac Ville Apartments, VGN Zodiac Ville Apartments, Devdoss St, Mogappair Eri Scheme, Mogappair, Chennai, Tamil Nadu 600037, India",13.0739757,80.1750388,"Indian Bank Corporate Office, 254-260, Avvai Shanmugham Salai, Pudupet, Gopalapuram, Chennai, Tamil Nadu 600014, India",13.0485688,80.2622778,12.904,2076,0,0,f,,,,,264,,,,,,,,30-09-2025,03:15:16,30-09-2025
88,26,,PENDING,RIDE,"1-5, New Bethana Nagar, Ambal Nagar, Nesapakkam, Chennai, Tamil Nadu 600087, India",13.0356434,80.1778179,"34, 3rd Ave, W Block, Annanagar East, Chennai, Tamil Nadu 600102, India",13.08639216,80.21772757,9.846,1703,0,0,f,,,,,213,,,,,,,,30-09-2025,11:16:32,30-09-2025
91,29,,PENDING,RIDE,"20, Lord Baba St, Vijayalakshmi Puram, Ambattur, Chennai, Tamil Nadu 600053, India",13.1235837,80.1537163,"Om Shri Flats, 26PM+FX6, Soundarajan St, T Nagar, CIT Nagar, Chennai, Tamil Nadu 600017, India",13.0361649,80.2349001,18.776,2946,0,0,f,,,,,381,,,,,,,,01-10-2025,03:09:34,01-10-2025
95,30,,PENDING,RIDE,"18/22, Vijayalakshmi Puram, Ambattur, Chennai, Tamil Nadu 600053, India",13.1255304,80.1548909,"T.Nagar Bustand,Medley Road,1st Cross, bus stand, medley Road1st cross,T.Nagar, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0348085,80.2301547,19.555,3005,0,0,f,,,,,397,,,,,,,,02-10-2025,12:57:50,02-10-2025
96,30,,PENDING,RIDE,"80/2, Vijayalakshmi Puram, Ambattur, Chennai, Tamil Nadu 600053, India",13.1254326,80.1549133,"Dr. Mehta's Hospitals, No.2/1,2, 3, Mc Nichols Road 3rd Ln, Chetpet, Chennai, Tamil Nadu 600031, India",13.0716109,80.2405937,16.616,2467,0,0,f,,,,,338,,,,,,,,03-10-2025,02:56:20,03-10-2025
97,32,,PENDING,RIDE,"1/488A, Anna Enclave, Injambakkam, Chennai, Tamil Nadu 600115, India",12.9184921,80.2488115,"Moorthy Street Extension, Moorthy St Ext, SM Nagar, Vivekanandapuram, West Mambalam, Chennai, Tamil Nadu, India",13.0393795,80.2180664,19.099,2884,0,0,f,,,,,387,,,,,,,,03-10-2025,03:07:49,03-10-2025
98,32,8,CANCELLED,RIDE,"VR Chennai, Jawaharlal Nehru Salai, Thirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0805465,80.197132,"Arumbakkam, Jawaharlal Nehru Salai, Senthil Nagar, Annai Sathya Nagar, Koyambedu, Chennai, Tamil Nadu 600026, India",13.0620745,80.2116729,4.498,714,0,0,t,,,13.07872394,80.19926459,125,,,,,45933.1317,,,03-10-2025,03:10:03,03-10-2025
107,39,,PENDING,RIDE,"TOWER-1, Doddakannelli-Chikkanayakana Halli Rd, Doddakannelli, Bengaluru, Karnataka 560035, India",12.897344,77.695747,"Krishnarajapuram, Krishnarajapuram, Bengaluru, Karnataka, India",13.0169992,77.7044335,24.475,3159,0,0,f,,,,,495,,,,,,,,03-10-2025,07:18:32,03-10-2025
109,36,,PENDING,RIDE,"Sai Akshara Apartments, Ashoka Castle Road, Gandhi Nagar, Kakinada, Andhra Pradesh 533004, India",16.96544874,82.2257901,"Sarpavaram, Sarpavaram, Kakinada, Andhra Pradesh, India",16.9969273,82.2230125,7.023,897,0,0,f,,,,,173,,,,,,,,03-10-2025,07:29:56,03-10-2025
