id,customerId,driverId,rideStatus,rideType,pickupPoint,pickupLat,pickupLong,dropPoint,dropLat,dropLong,initialDistance,initialDuration,finalDistance,finalDuration,payWithNuraCoins,appliedVoucherId,appliedCouponId,rideAssignedLat,rideAssignedLong,initialFare,finalFare,payableAmount,rideStartTime,rideEndTime,rideAssignedTime,initialOdometer,finalOdometer,createdAt,updatedAt,date,time_est,hour,source,dd,dd1,dd2,dd3,dd4,dd5
1,1,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,t,,,,,89,,,,,,,,45928.30466,45928.30479,45928,07:18:43,12,test,,,,,,
2,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Koyambedu CMBT Bus Stand, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0686902,80.2051416,4.097,660,0,0,f,,,,,125,,,,,,,,45928.30715,45928.30723,45928,07:22:18,12,test,,,,,,
3,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,,,125,,,,,,,,45928.30786,45928.30795,45928,07:23:19,12,test,,,,,,
11,4,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,f,,,,,89,,,,,,,,45928.32696,45928.32698,45928,07:50:50,13,test,,,,,,
4,3,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Ampa Skyone, 1, Nelson Manickam Rd, Aminjikarai, Chennai, Tamil Nadu 600030, India",13.0736821,80.2212825,5.134,870,0,0,f,,1,,,152,,,,,,,,45928.3118,45928.31199,45928,07:29:00,12,test,,,,,,
5,1,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,f,,,,,89,,,,,,,,45928.31237,45928.31239,45928,07:29:49,12,test,,,,,,
6,3,,PENDING,RIDE,"VR Chennai, Jawaharlal Nehru Salai, Thirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0805465,80.197132,"Ampa Skyone, 1, Nelson Manickam Rd, Aminjikarai, Chennai, Tamil Nadu 600030, India",13.0736821,80.2212825,5.19,913,0,0,f,,1,,,152,,,,,,,,45928.31362,45928.31371,45928,07:31:37,13,test,,,,,,
7,1,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,f,,,,,89,,,,,,,,45928.31582,45928.31584,45928,07:34:47,13,test,,,,,,
8,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,,,125,,,,,,,,45928.31888,45928.31918,45928,07:39:11,13,test,,,,,,
9,4,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,f,,,,,89,,,,,,,,45928.32653,45928.32655,45928,07:50:13,13,test,,,,,,
10,4,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,f,,,,,89,,,,,,,,45928.32673,45928.32674,45928,07:50:29,13,test,,,,,,
12,4,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,f,,,,,89,,,,,,,,45928.32717,45928.32719,45928,07:51:08,13,test,,,,,,
13,5,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,f,,,,,89,,,,,,,,45928.36283,45928.36285,45928,08:42:29,14,test,,,,,,
